"EnsemblID","GENE","EVENT","COORD","LENGTH","PSI.RPE1","cRPKM.RPE1","ess.RPE1.log2FC","protImpact","selection","cyclic","type.RPE1","n.exonDel","sig.exonDel","n.singleCtrl","sig.singleCtrl","n.exonic","sig.exonic","n.Cas9","n.Cpf1","sig.Cas9.single","sig.Cpf1.single","exonDel.clean","sig.exonDel.clean","frac.singleCtrl","frac.all","frac.clean","hit"
"ENSG00000124787","RPP40","HsaEX0055543","chr6:4998950-4999075",126,88.24,5.22,-1.6603654782075,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,4,1,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000126001","CEP250","HsaEX0014759","chr20:34046125-34046195",71,NA,14.35,-1.58517807914132,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres",16,4,24,1,3,0,4,8,0,1,14,3,0.0417,0.25,0.2143,TRUE
"ENSG00000127481","UBR4","HsaEX0069005","chr1:19467282-19467382",101,97.41,25.78,-2.34315448425242,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,1,24,0,3,2,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000131931","THAP1","HsaEX0064766","chr8:42694329-42694524",196,NA,5.16,-3.25372923613565,"Alternative protein isoforms (No Ref, Alt. Stop)","framePres/essential/AS",NA,"framePres/essential",16,1,24,1,5,2,4,8,0,1,14,1,0.0417,0.0625,0.0714,FALSE
"ENSG00000135913","USP37","HsaEX0069841","chr2:219344373-219344438",66,NA,4.18,-2.90443866442588,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,0,24,2,5,2,4,8,1,1,11,0,0.0833,0,0,FALSE
"ENSG00000136715","SAP130","HsaEX0056190","chr2:128735559-128735663",105,81.82,16.64,-1.39038480845218,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,2,5,0,4,8,0,2,12,0,0.0833,0,0,FALSE
"ENSG00000137076","TLN1","HsaEX0065134","chr9:35718353-35718403",51,NA,183.19,-3.5489350638766,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres/essential",16,1,24,2,3,3,4,8,2,0,8,0,0.0833,0.0625,0,FALSE
"ENSG00000137497","NUMA1","HsaEX0044209","chr11:71723447-71723488",42,65.76,45.43,-0.442438842513019,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",32,0,48,4,3,0,4,8,2,2,12,0,0.0833,0,0,FALSE
"ENSG00000137807","KIF23","HsaEX0034535","chr15:69717621-69717662",42,43.23,88.07,-3.69100640013868,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres/essential",16,1,24,1,3,3,4,8,0,1,14,1,0.0417,0.0625,0.0714,FALSE
"ENSG00000138495","COX17","HsaEX0016903","chr3:119395709-119395813",105,NA,28.89,-1.23850308500847,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",8,0,18,0,3,1,1,8,0,0,8,0,0,0,0,FALSE
"ENSG00000139618","BRCA2","HsaEX0008389","chr13:32918698-32918790",93,NA,3.84,-0.936350708445686,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,1,24,1,3,0,4,8,0,1,14,0,0.0417,0.0625,0,FALSE
"ENSG00000142252","GEMIN7","HsaEX0027311","chr19:45583165-45583287",123,NA,9.29,-2.08535121158309,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres",16,0,24,0,3,2,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000143061","IGSF3","HsaEX0031207","chr1:117149114-117149170",57,NA,2.48,-2.2779984766704,"Alternative protein isoforms (Ref)","framePres/essential/AS",TRUE,"lowExpressed/lowPSI",16,3,24,0,3,2,4,8,0,0,16,3,0,0.1875,0.1875,TRUE
"ENSG00000143374","TARS2","HsaEX0063666","chr1:150477112-150477209",98,88.24,10.89,-0.885600702861023,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",3,0,8,0,5,0,1,3,0,0,3,0,0,0,0,FALSE
"ENSG00000145216","FIP1L1","HsaEX0025813","chr4:54257597-54257665",69,27.94,27.33,-2.53371528138944,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,4,2,4,8,0,1,15,0,0.0417,0,0,FALSE
"ENSG00000145216","FIP1L1","HsaEX0025814","chr4:54280782-54280889",108,49.63,27.33,-2.53371528138944,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,2,2,0,4,8,0,1,14,0,0.0833,0,0,FALSE
"ENSG00000145216","FIP1L1","HsaEX0025815","chr4:54306749-54306775",27,42.3,27.33,-2.53371528138944,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",16,0,24,0,0,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000145388","METTL14","HsaEX0038897","chr4:119626766-119626976",211,90,9.71,-1.18990346041397,"Alternative protein isoforms (No Ref, Alt. Stop)","framePres/essential/AS",NA,"framePres",16,0,24,0,5,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000149554","CHEK1","HsaEX0015141","chr11:125526101-125526230",130,NA,17.91,-1.47863598341766,"3' UTR","framePres/essential/AS",TRUE,"framePres",16,0,24,1,3,1,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000151247","EIF4E","HsaEX0022022","chr4:99807605-99807697",93,NA,82.25,-3.14030139620853,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",12,1,14,0,3,2,3,4,0,0,12,1,0,0.0833,0.0833,FALSE
"ENSG00000154813","DPH3","HsaEX0020804","chr3:16305662-16305736",75,61.22,15.22,-2.91740502656525,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,2,24,4,3,2,4,8,3,1,3,1,0.1667,0.125,0.3333,FALSE
"ENSG00000155229","MMS19","HsaEX0039695","chr10:99236677-99236720",44,97.08,34.27,-3.571381115636,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",8,0,18,1,4,4,1,8,0,1,7,0,0.0556,0,0,FALSE
"ENSG00000158169","FANCC","HsaEX0024749","chr9:97912205-97912369",165,NA,5.41,-2.26563265200195,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,5,2,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000163312","HELQ","HsaEX0029662","chr4:84367988-84368188",201,NA,3.51,-0.829299746019086,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,2,16,0,5,0,4,4,0,0,16,2,0,0.125,0.125,FALSE
"ENSG00000164053","ATRIP","HsaEX0007197","chr3:48505981-48506061",81,100,9.54,0.13669945991534,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,20,1,5,1,2,8,0,1,14,0,0.05,0,0,FALSE
"ENSG00000164327","RICTOR","HsaEX0053597","chr5:38949458-38949529",72,NA,4.22,-0.836763896276992,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,3,24,4,4,0,4,8,1,3,9,0,0.1667,0.1875,0,TRUE
"ENSG00000164615","CAMLG","HsaEX0012272","chr5:134079677-134079742",66,93.85,13.3,-2.0161588729221,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,4,1,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000169118","CSNK1G1","HsaEX0017548","chr15:64480574-64480684",111,NA,5.84,-1.20479439001175,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",16,1,24,3,3,0,4,8,2,1,6,0,0.125,0.0625,0,FALSE
"ENSG00000179950","PUF60","HsaEX0051262","chr8:144902836-144902886",51,56.05,55.22,-2.16689885862011,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,4,2,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000180198","RCC1","HsaEX0052877","chr1:28857035-28857085",51,15.6,48.33,-3.50213039873473,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,0,24,0,3,3,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000187742","SECISBP2","HsaEX0056997","chr9:91954779-91954868",90,NA,8.75,0.355505178813223,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,2,24,2,5,0,4,8,0,2,12,2,0.0833,0.125,0.1667,FALSE
"ENSG00000196504","PRPF40A","HsaEX0050370","chr2:153535570-153535623",54,82.64,22.49,-1.38011728557023,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",12,0,14,3,5,1,4,3,3,0,3,0,0.2143,0,0,FALSE
"ENSG00000196712","NF1","HsaEX0042648","chr17:29579956-29580018",63,90.24,11.29,1.48122573903694,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,1,3,0,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000198836","OPA1","HsaEX0044739","chr3:193343881-193343991",111,32.76,16.82,-1.93933777276501,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,2,24,0,5,1,4,8,0,0,16,2,0,0.125,0.125,FALSE
"ENSG00000204619","PPP1R11","HsaEX0049547","chr6:30036056-30036130",75,NA,32.85,-1.69356870171921,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres",16,3,24,2,3,1,4,8,2,0,8,2,0.0833,0.1875,0.25,TRUE
"ENSG00000239900","ADSL","HsaEX0002886","chr22:40760884-40761060",177,96.62,49.87,-0.602262949574385,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,1,5,0,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000011304","PTBP1","HsaEX0050725","chr19:805513-805569",57,74.13,145.49,-2.47617358482651,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",6,2,10,1,5,2,2,3,0,1,4,2,0.1,0.3333,0.5,TRUE
"ENSG00000035928","RFC1","HsaEX0053161","chr4:39324960-39325037",78,89.74,26.29,-2.32610140251183,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,2,3,2,4,8,1,1,10,0,0.0833,0,0,FALSE
"ENSG00000047249","ATP6V1H","HsaEX0007016","chr8:54723724-54723777",54,94.33,38.42,-1.90362793950483,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,2,4,1,4,8,1,0,12,0,0.0833,0,0,FALSE
"ENSG00000049541","RFC2","HsaEX0053166","chr7:73660992-73661093",102,91.72,35.92,-1.94696207981813,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,0,4,3,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000051341","POLQ","HsaEX0049024","chr3:121192202-121192334",133,94.02,8,-2.25713624783809,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,1,24,0,5,1,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000058272","PPP1R12A","HsaEX0049557","chr12:80199946-80200077",132,85.05,27.6,-4.97264318274148,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,0,24,1,5,4,4,8,1,0,12,0,0.0417,0,0,FALSE
"ENSG00000058272","PPP1R12A","HsaEX0049558","chr12:80199372-80199548",177,100,27.6,-4.97264318274148,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,0,24,0,2,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000060069","CTDP1","HsaEX0017800","chr18:77496355-77496521",167,100,7.38,-0.784110090622393,"Alternative protein isoforms (No Ref, Alt. Stop)","framePres/essential/AS",NA,"framePres/nonessential",16,1,24,0,4,1,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000062194","GPBP1","HsaEX0028132","chr5:56517203-56517223",21,12.4,22.46,-0.643038066594208,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,3,3,0,4,8,2,0,8,0,0.125,0,0,FALSE
"ENSG00000062194","GPBP1","HsaEX0028133","chr5:56532940-56532999",60,13.79,22.46,-0.643038066594208,"Alternative protein isoforms (No Ref)","framePres/essential/AS",TRUE,"framePres/nonessential",16,0,24,0,0,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000075702","WDR62","HsaEX0071282","chr19:36592566-36592676",111,92.98,17.44,-1.00764344845142,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",8,0,12,0,5,0,2,4,0,0,8,0,0,0,0,FALSE
"ENSG00000078674","PCM1","HsaEX0045917","chr8:17838100-17838264",165,59.6,24.51,-2.06435059718619,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,0,24,1,3,1,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000078674","PCM1","HsaEX0045919","chr8:17782222-17782289",68,87.42,24.51,-2.06435059718619,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres",16,0,24,2,0,0,4,8,0,1,14,0,0.0833,0,0,FALSE
"ENSG00000078674","PCM1","HsaEX0045923","chr8:17797551-17797667",117,39.97,24.51,-2.06435059718619,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres",8,1,12,0,0,0,4,2,0,0,8,1,0,0.125,0.125,FALSE
"ENSG00000080603","SRCAP","HsaEX0061653","chr16:30732510-30732797",288,85.45,17.75,-3.35488009716447,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,6,24,1,5,3,4,8,0,1,14,5,0.0417,0.375,0.3571,TRUE
"ENSG00000083093","PALB2","HsaEX0045294","chr16:23619185-23619333",149,77.99,6.32,-1.18764008360404,"Alternative protein isoforms (No Ref, Alt. Stop)","framePres/essential/AS",NA,"framePres",16,2,24,1,4,2,4,8,1,0,12,1,0.0417,0.125,0.0833,FALSE
"ENSG00000085224","ATRX","HsaEX0007239","chrX:76949313-76949426",114,66.99,10.33,-2.88173422596511,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,1,24,1,3,2,4,8,0,1,14,1,0.0417,0.0625,0.0714,FALSE
"ENSG00000087157","PGS1","HsaEX0046866","chr17:76392389-76392466",78,94.74,11.24,-1.77798641111124,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,1,24,0,5,2,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000087470","DNM1L","HsaEX0020451","chr12:32890799-32890876",78,18.29,33.26,-0.670542844869349,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres/nonessential",3,0,8,0,3,0,1,3,0,0,3,0,0,0,0,FALSE
"ENSG00000087470","DNM1L","HsaEX0020452","chr12:32891198-32891230",33,39.57,33.26,-0.670542844869349,"Alternative protein isoforms (No Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,3,24,0,0,0,4,8,0,0,16,3,0,0.1875,0.1875,TRUE
"ENSG00000092036","HAUS4","HsaEX0029281","chr14:23420764-23420898",135,93.6,23.99,-3.47284544976345,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,0,24,0,3,3,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000099917","MED15","HsaEX0038599","chr22:20929400-20929519",120,35.8,36.87,0.433346456120129,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,0,24,0,3,0,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000101452","DHX35","HsaEX0019614","chr20:37652333-37652410",78,NA,4.87,-2.74024640933379,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,0,24,0,5,2,4,8,0,0,16,0,0,0,0,FALSE
"ENSG00000101654","RNMT","HsaEX0054185","chr18:13730626-13730754",129,NA,7.51,-3.60694979351139,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres/essential",16,0,24,1,3,3,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000101901","ALG13","HsaEX0003681","chrX:110952193-110952276",84,NA,4.13,-3.39690028634297,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,0,24,1,4,3,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000101901","ALG13","HsaEX0003689","chrX:110987896-110988132",237,NA,4.13,-3.39690028634297,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,0,24,1,0,0,4,8,0,1,14,0,0.0417,0,0,FALSE
"ENSG00000102125","TAZ","HsaEX0063723","chrX:153642438-153642527",90,40,11.35,0.339910771867321,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/nonessential",16,1,24,1,3,0,4,8,0,1,14,1,0.0417,0.0625,0.0714,FALSE
"ENSG00000104064","GABPB1","HsaEX0026773","chr15:50638569-50638592",24,10.31,12.65,-4.29945389175331,"5' UTR/ncRNA","framePres/essential/AS",NA,"framePres/essential",16,1,24,2,3,3,4,8,1,1,10,0,0.0833,0.0625,0,FALSE
"ENSG00000108264","TADA2A","HsaEX0063403","chr17:35787049-35787108",60,NA,8.19,-3.46426263039014,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres/essential",16,1,24,2,4,3,4,8,0,2,12,1,0.0833,0.0625,0.0833,FALSE
"ENSG00000108423","TUBD1","HsaEX0068306","chr17:57968192-57968289",98,NA,2.57,-1.81146930279647,"Alternative protein isoforms (Ref, Alt. ATG)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,5,24,3,3,0,4,8,1,1,11,1,0.125,0.3125,0.0909,TRUE
"ENSG00000108423","TUBD1","HsaEX0068311","chr17:57951900-57952064",165,NA,2.57,-1.81146930279647,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,1,24,0,2,1,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
"ENSG00000108423","TUBD1","HsaEX0068312","chr17:57943970-57944110",141,NA,2.57,-1.81146930279647,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,1,24,1,2,0,4,8,0,1,14,1,0.0417,0.0625,0.0714,FALSE
"ENSG00000108433","GOSR2","HsaEX0028068","chr17:45012395-45012535",141,95.49,21.23,-1.92436279266302,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"framePres",16,2,24,2,5,2,4,8,0,2,12,2,0.0833,0.125,0.1667,FALSE
"ENSG00000111011","RSRC2","HsaEX0055837","chr12:123005051-123005128",78,22.76,30.53,-2.27990911654158,"Alternative protein isoforms (No Ref, Alt. ATG)","framePres/essential/AS",NA,"framePres",16,2,24,0,3,1,4,8,0,0,16,2,0,0.125,0.125,FALSE
"ENSG00000112130","RNF8","HsaEX0054150","chr6:37342396-37342485",90,96.3,4.81,-2.27210894288357,"Alternative protein isoforms (Ref)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,3,24,2,3,2,4,8,1,1,11,1,0.0833,0.1875,0.0909,TRUE
"ENSG00000112130","RNF8","HsaEX0054152","chr6:37348926-37349130",205,78.38,4.81,-2.27210894288357,"Alternative protein isoforms (No Ref, Alt. Stop)","framePres/essential/AS",NA,"lowExpressed/lowPSI",16,1,24,0,2,0,4,8,0,0,16,1,0,0.0625,0.0625,FALSE
